"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.343612501E-1,-1.983974304E0,2.800825653E0,8.297545166E0,8.979422819E0
7.443932501E-1,4.408332825E-1,1.576970673E0,1.034618500E1,1.047495654E1
7.544252500E-1,1.518143005E0,7.909552002E-1,1.139984390E1,1.152765411E1
7.644562500E-1,-3.463796997E-1,-3.418890381E-1,1.153516251E1,1.154542511E1
7.744882500E-1,-3.355871429E0,-1.551373901E0,1.203751785E1,1.259247673E1
7.845202500E-1,-5.311105499E0,-1.834884338E0,1.301109329E1,1.417262117E1
7.945522501E-1,-4.751419373E0,-1.266665955E0,1.387494690E1,1.472054959E1
8.045832501E-1,-3.254382477E0,-1.004860382E0,1.441307785E1,1.481004939E1
8.146152500E-1,-2.042951660E0,-1.203796692E0,1.528666122E1,1.546947929E1
8.246472500E-1,-1.820813599E0,-1.564247131E0,1.709744568E1,1.726513481E1
8.346792500E-1,-2.245480499E0,-1.208586731E0,1.834959183E1,1.852593816E1
8.447102500E-1,-2.522853699E0,-3.802093506E-2,1.869148087E1,1.886100987E1
8.547422501E-1,-2.382595367E0,1.175206146E0,1.838596619E1,1.857691101E1
8.647742501E-1,-2.051783295E0,1.475481720E0,1.757974274E1,1.776046778E1
8.748052501E-1,-9.702822876E-1,9.954299927E-1,1.618808670E1,1.624766074E1
8.848372500E-1,1.411864014E0,3.715274048E-1,1.563753159E1,1.570553363E1
8.948692500E-1,3.128194885E0,4.086502075E-2,1.507904297E1,1.540015617E1
9.049012500E-1,3.413950653E0,-3.665876770E-1,1.458207642E1,1.498086774E1
9.149322500E-1,2.239492950E0,-1.738185425E0,1.587104599E1,1.612224296E1
9.249642501E-1,9.876461792E-1,-2.825075226E0,1.841605362E1,1.865763988E1
9.349962501E-1,-3.580554199E-1,-2.789299622E0,2.034733749E1,2.054075313E1
9.450282500E-1,-1.946252747E0,-1.838027802E0,2.058204941E1,2.075540902E1
9.550592500E-1,-2.938688965E0,-1.020877075E0,1.869178024E1,1.894889790E1
9.650912500E-1,-2.839445343E0,-7.593708801E-1,1.633732635E1,1.659961826E1
9.751232500E-1,-2.378404083E0,-1.635199585E0,1.493623993E1,1.521255885E1
9.851542501E-1,-1.797013092E0,-4.273313599E0,1.529684006E1,1.598386001E1
9.951862501E-1,-1.965712280E0,-5.410498810E0,1.535012924E1,1.639402299E1
1.005218250E0,-2.051184540E0,-4.610861664E0,1.538485703E1,1.619139367E1
1.015250250E0,-1.729653168E0,-3.070564728E0,1.592328735E1,1.630862189E1
1.025281250E0,-8.271798706E-1,-1.475032654E0,1.611728394E1,1.620576408E1
1.035313250E0,4.863386536E-1,-4.990621948E-1,1.549532730E1,1.551098825E1
1.045345250E0,1.911974030E0,-3.601510620E-1,1.389994492E1,1.403544877E1
1.055377250E0,2.668500824E0,-7.197033691E-1,1.201461548E1,1.232841655E1
1.065408250E0,2.038910065E0,-9.990225220E-1,1.030112869E1,1.054838626E1
1.075440250E0,1.524579620E0,-1.385069733E0,9.245074768E0,9.471756366E0
1.085472250E0,2.142195282E0,-2.312990112E0,9.314979401E0,9.834010632E0
1.095503250E0,2.963986359E0,-4.335733795E0,1.232791397E1,1.340004722E1
1.105535250E0,2.564616852E0,-5.438939667E0,1.538141418E1,1.651506060E1
